1,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,
T,G,G,T,G,G,T,T,T,T,T,T,T,T,T,T
T,p,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
6,,,,,,,,,,,,,,,
1,1,P,,,,,,,,,,,,,
4,4,C,,,,,,,,,,,,,
7,2,p,,,,,,,,,,,,,
1,8,L,3,,,,,,,,,,,,
4,10,PortaChaveSaida,0,goldenKey,3,3,,,,,,,,,
1,1,goldenKey,,,,,,,,,,,,,
8,1,L,1
