1,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,
T,G,G,T,G,G,T,T,T,T,T,T,T,T,T,T
T,p,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
4,,,,,,,,,,,,,,,
1,1,P,,,,,,,,,,,,,
3,4,C,,,,,,,,,,,,,
7,2,p,,,,,,,,,,,,,
4,10,Porta,2,,,,,,,,,,,,
2,1,goldenKey,2,,,,,,,,,,,,
