1,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,
G,G,G,G,G,G,G,G,G,G,G,G,G,G,T,T
G,G,G,G,G,G,G,G,G,G,G,G,G,G,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
3,,,,,,,,,,,,,,,
1,1,P,,,,,,,,,,,,,
3,4,C,,,,,,,,,,,,,
4,10,Porta,0,goldenKey,,,,,,,,,,,
1,2,goldenKey,,,,,,,,,,,,,
