1,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,
T,G,G,T,G,G,T,T,T,T,T,T,T,T,T,T
T,p,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
5,,,,,,,,,,,,,,,
1,1,P,,,,,,,,,,,,,
3,4,C,,,,,,,,,,,,,
7,2,p,,,,,,,,,,,,,
8,1,L,1,,,,,,,,,,,,
4,10,Porta,0,goldenKey,,,,,,,,,,,
1,1,goldenKey,,,,,,,,,,,,,
